Year,Population,Car_Occupant,Pedestrian,Motorcycle,Bicycle,Trucks,Total,Car_Per_100K,Ped_Per_100K,Motorcycle_Per_100K,Bicycle_Per_100K,Trucks_Per_100K,Total_Per_100K,registered_auto,registered_truck,registered_motorcycle,Car_Accidents_Per_Registration,Motorcycle_Accident_Per_Registration,Truck_Accidents_Per_Registration,Registered_Cars_Per_Capita,Biker_Ridership
1975,215973199,30601,7516,3180,1003,916,44525,14.2,3.5,1.5,0.5,0.4,20.6,106706034,25780619,4964070,0.000286779,0.000640603,3.55306E-05,0.49407072,
1976,218035164,31724,7427,3306,914,1100,45523,14.5,3.4,1.5,0.4,0.5,20.9,110188640,27875925,4933332,0.000287906,0.000670135,3.94606E-05,0.505370959,
1977,220239425,32823,7732,4099,922,1229,47878,14.9,3.5,1.9,0.4,0.6,21.7,112287522,29314285,4933256,0.000292312,0.000830891,4.1925E-05,0.509842967,
1978,222584545,34923,7795,4574,892,1315,50331,15.7,3.5,2.1,0.4,0.6,22.6,116573394,31335864,4867855,0.00029958,0.000939634,4.19647E-05,0.523726362,
1979,225055487,35026,8096,4892,932,1372,51093,15.6,3.6,2.2,0.4,0.6,22.7,118428730,32913804,5422132,0.000295756,0.000902228,4.16846E-05,0.526220141,
1980,227224719,34996,8070,5138,965,1183,51091,15.4,3.6,2.3,0.4,0.5,22.5,121600843,33666587,5693940,0.000287794,0.000902363,3.51387E-05,0.535156754,
1981,229465608,33711,7837,4896,936,1082,49301,14.7,3.4,2.1,0.4,0.5,21.5,123098411,34644110,5831132,0.000273854,0.000839631,3.12319E-05,0.53645691,
1982,231664496,29656,7331,4449,864,917,43945,12.8,3.2,1.9,0.4,0.4,19,123701665,35382375,5753491,0.000239738,0.00077327,2.59169E-05,0.533969025,
1983,233791903,29154,6826,4260,830,960,42589,12.5,2.9,1.8,0.4,0.4,18.2,126443782,36722615,5905112,0.000230569,0.000721409,2.61419E-05,0.540839013,
1984,235824783,30094,7025,4602,838,1040,44257,12.8,3,2,0.4,0.4,18.8,128157692,37507463,5479822,0.00023482,0.000839808,2.77278E-05,0.543444545,
1985,237923732,29848,6808,4562,869,941,43825,12.5,2.9,1.9,0.4,0.4,18.4,127885193,43210200,5444404,0.000233397,0.000837925,2.17773E-05,0.537504989,
1986,240132841,32224,6779,4566,929,892,46087,13.4,2.8,1.9,0.4,0.4,19.2,130003574,45102912,5198993,0.00024787,0.000878247,1.9777E-05,0.541381901,
1987,242289023,33145,6745,4034,940,821,46390,13.7,2.8,1.7,0.4,0.3,19.1,131482123,46825595,4885772,0.000252088,0.000825663,1.75331E-05,0.542666446,
1988,244498836,34105,6870,3661,901,886,47087,13.9,2.8,1.5,0.4,0.4,19.3,133835532,49941451,4584284,0.000254828,0.000798598,1.77408E-05,0.547387195,
1989,246819119,33599,6556,3135,822,822,45582,13.6,2.7,1.3,0.3,0.3,18.5,134559193,52171873,4420420,0.000249697,0.000709209,1.57556E-05,0.545173298,
1990,249464396,32711,6482,3243,853,684,44599,13.1,2.6,1.3,0.3,0.3,17.9,133700496,54470431,4259462,0.000244659,0.000761364,1.25573E-05,0.535950212,
1991,252153092,30810,5801,2805,836,650,41508,12.2,2.3,1.1,0.3,0.3,16.5,128299601,59205589,4177365,0.000240141,0.000671476,1.09787E-05,0.508816291,
1992,255029699,29457,5549,2395,717,580,39250,11.6,2.2,0.9,0.3,0.2,15.4,126581148,63136348,4065118,0.000232712,0.000589159,9.18647E-06,0.496338852,
1993,257782608,29994,5649,2445,806,590,40150,11.6,2.2,0.9,0.3,0.2,15.6,127327189,66081861,3977856,0.000235566,0.000614653,8.92832E-06,0.493932426,
1994,260327021,30820,5489,2317,796,658,40716,11.8,2.1,0.9,0.3,0.3,15.6,127883469,69491473,3756555,0.000241001,0.000616789,9.46879E-06,0.491241626,
1995,262803276,31914,5584,2226,828,634,41817,12.1,2.1,0.8,0.3,0.2,15.9,128386775,72457743,3767029,0.000248577,0.000590917,8.74993E-06,0.488528062,
1996,265228572,32354,5449,2161,761,602,42065,12.2,2.1,0.8,0.3,0.2,15.9,129728341,76146528,3871237.14,0.000249398,0.000558219,7.90581E-06,0.489119027,
1997,267783607,32343,5321,2116,811,717,42013,12.1,2,0.8,0.3,0.3,15.7,129748704,77307408,3826373,0.000249274,0.000553004,9.27466E-06,0.484528181,
1998,270248003,31781,5228,2294,757,739,41501,11.8,1.9,0.8,0.3,0.3,15.4,131838538,79062475,3879450,0.00024106,0.000591321,9.34704E-06,0.487842783,
1999,272690813,32008,4939,2483,750,747,41717,11.7,1.8,0.9,0.3,0.3,15.3,132432044,83147802,4152433,0.000241694,0.000597963,8.984E-06,0.485649086,
2000,282192162,32109,4763,2895,689,737,41945,11.4,1.7,1,0.2,0.3,14.9,133621420,87107628,4346068,0.000240298,0.000666119,8.4608E-06,0.473512159,
2001,285102075,31938,4901,3195,729,691,42196,11.2,1.7,1.1,0.3,0.2,14.8,137633467,92045311,4903056,0.000232051,0.000651634,7.50717E-06,0.482751544,
2002,287941220,32724,4851,3267,663,675,43005,11.4,1.7,1.1,0.2,0.2,14.9,135920677,92938585,5004156,0.000240758,0.000652857,7.26286E-06,0.472043138,
2003,290788976,32166,4774,3710,626,703,42884,11.1,1.6,1.3,0.2,0.2,14.7,135669897,94943551,5370035,0.00023709,0.000690871,7.4044E-06,0.46655791,
2004,293655404,31750,4675,4026,722,743,42836,10.8,1.6,1.4,0.2,0.3,14.6,136430651,100016691,5780870,0.000232719,0.000696435,7.42876E-06,0.464594382,
2005,296410404,31455,4892,4575,784,758,43510,10.6,1.7,1.5,0.3,0.3,14.7,136568083,103818838,6227146,0.000230325,0.000734686,7.30118E-06,0.460739843,
2006,299398484,30628,4795,4810,769,774,42708,10.2,1.6,1.6,0.3,0.3,14.3,135399945,107943782,6678958,0.000226204,0.000720172,7.1704E-06,0.452239915,
2007,301621157,29155,4699,5174,699,745,41259,9.7,1.6,1.7,0.2,0.2,13.7,135932930,110497239,7138475.79,0.000214481,0.000724805,6.74225E-06,0.450674387,
2008,304059724,25547,4414,5307,716,615,37423,8.4,1.5,1.7,0.2,0.2,12.3,137079843,110241587,7752925.7,0.000186366,0.000684516,5.57866E-06,0.450831965,
2009,307006550,23507,4109,4467,628,449,33883,7.7,1.3,1.5,0.2,0.1,11,134879600,110561293,7929724,0.000174281,0.000563324,4.0611E-06,0.439337858,
2010,309327143,22351,4302,4517,621,475,32999,7.2,1.4,1.5,0.2,0.2,10.7,130892240,110322254,8009503,0.000170759,0.000563955,4.30557E-06,0.423151485,42400000
2011,311583481,21413,4457,4630,680,555,32479,6.9,1.4,1.5,0.2,0.2,10.4,125656528,118455587,8437502,0.000170409,0.000548741,4.6853E-06,0.403283664,43000000
2012,313877662,21906,4818,4986,730,590,33782,7,1.5,1.6,0.2,0.2,10.8,111289910,133130029,8455028.68,0.000196837,0.000589708,4.43176E-06,0.354564607,42300000
2013,316059947,21361,4779,4691,747,589,32894,6.8,1.5,1.5,0.2,0.2,10.4,113676346,132931240,8426450,0.000187911,0.000556699,4.43086E-06,0.359667041,46600000
2014,318386329,21131,4910,4302,723,585,32744,6.6,1.5,1.4,0.2,0.2,10.3,113898843,137162349,8417717.49,0.000185524,0.000511065,4.26502E-06,0.357737857,44000000
2015,320738994,22741,5495,5026,828,598,35485,7.1,1.7,1.6,0.3,0.2,11.1,112864228,141256148,8600936,0.00020149,0.000584355,4.23344E-06,0.351888078,43100000
2016,323071755,23957,6080,5337,848,662,37806,7.4,1.9,1.7,0.3,0.2,11.7,112961266,146182276,8679380,0.000212082,0.000614906,4.52859E-06,0.349647607,45800000
2017,325122128,23866,6075,5229,800,680,37473,7.3,1.9,1.6,0.2,0.2,11.5,111177029,151605434,8715204,0.000214667,0.000599986,4.48533E-06,0.341954667,47500000
2018,326838199,23046,6374,5038,868,677,36835,7.1,2,1.5,0.3,0.2,11.3,111242132,152701629,8666186,0.00020717,0.00058134,4.43348E-06,0.340358417,47900000